"id","surah_number","name_ar","name_en","revelation_type","verses_count","revelation_order","transliteration_en"
1,1,"الفاتحة","The Opening","Makki",7,5,"Al-Faatiha"
2,2,"البقرة","The Cow","Madani",286,87,"Al-Baqara"
3,3,"آل عمران","The Family of Imraan","Madani",200,89,"Aal-i-Imraan"
4,4,"النساء","The Women","Madani",176,92,"An-Nisaa"
5,5,"المائدة","The Table","Madani",120,112,"Al-Maaida"
6,6,"الأنعام","The Cattle","Makki",165,55,"Al-An'aam"
7,7,"الأعراف","The Heights","Makki",206,39,"Al-A'raaf"
8,8,"الأنفال","The Spoils of War","Madani",75,88,"Al-Anfaal"
9,9,"التوبة","The Repentance","Madani",129,113,"At-Tawba"
10,10,"يونس","Jonas","Makki",109,51,"Yunus"
11,11,"هود","Hud","Makki",123,52,"Hud"
12,12,"يوسف","Joseph","Makki",111,53,"Yusuf"
13,13,"الرعد","The Thunder","Madani",43,96,"Ar-Ra'd"
14,14,"ابراهيم","Abraham","Makki",52,72,"Ibrahim"
15,15,"الحجر","The Rock","Makki",99,54,"Al-Hijr"
16,16,"النحل","The Bee","Makki",128,70,"An-Nahl"
17,17,"الإسراء","The Night Journey","Makki",111,50,"Al-Israa"
18,18,"الكهف","The Cave","Makki",110,69,"Al-Kahf"
19,19,"مريم","Mary","Makki",98,44,"Maryam"
20,20,"طه","Taa-Haa","Makki",135,45,"Taa-Haa"
21,21,"الأنبياء","The Prophets","Makki",112,73,"Al-Anbiyaa"
22,22,"الحج","The Pilgrimage","Madani",78,103,"Al-Hajj"
23,23,"المؤمنون","The Believers","Makki",118,74,"Al-Muminoon"
24,24,"النور","The Light","Madani",64,102,"An-Noor"
25,25,"الفرقان","The Criterion","Makki",77,42,"Al-Furqaan"
26,26,"الشعراء","The Poets","Makki",227,47,"Ash-Shu'araa"
27,27,"النمل","The Ant","Makki",93,48,"An-Naml"
28,28,"القصص","The Stories","Makki",88,49,"Al-Qasas"
29,29,"العنكبوت","The Spider","Makki",69,85,"Al-Ankaboot"
30,30,"الروم","The Romans","Makki",60,84,"Ar-Room"
31,31,"لقمان","Luqman","Makki",34,57,"Luqman"
32,32,"السجدة","The Prostration","Makki",30,75,"As-Sajda"
33,33,"الأحزاب","The Clans","Madani",73,90,"Al-Ahzaab"
34,34,"سبإ","Sheba","Makki",54,58,"Saba"
35,35,"فاطر","The Originator","Makki",45,43,"Faatir"
36,36,"يس","Yaseen","Makki",83,41,"Yaseen"
37,37,"الصافات","Those drawn up in Ranks","Makki",182,56,"As-Saaffaat"
38,38,"ص","The letter Saad","Makki",88,38,"Saad"
39,39,"الزمر","The Groups","Makki",75,59,"Az-Zumar"
40,40,"غافر","The Forgiver","Makki",85,60,"Al-Ghaafir"
41,41,"فصلت","Explained in detail","Makki",54,61,"Fussilat"
42,42,"الشورى","Consultation","Makki",53,62,"Ash-Shura"
43,43,"الزخرف","Ornaments of gold","Makki",89,63,"Az-Zukhruf"
44,44,"الدخان","The Smoke","Makki",59,64,"Ad-Dukhaan"
45,45,"الجاثية","Crouching","Makki",37,65,"Al-Jaathiya"
46,46,"الأحقاف","The Dunes","Makki",35,66,"Al-Ahqaf"
47,47,"محمد","Muhammad","Madani",38,95,"Muhammad"
48,48,"الفتح","The Victory","Madani",29,111,"Al-Fath"
49,49,"الحجرات","The Inner Apartments","Madani",18,106,"Al-Hujuraat"
50,50,"ق","The letter Qaaf","Makki",45,34,"Qaaf"
51,51,"الذاريات","The Winnowing Winds","Makki",60,67,"Adh-Dhaariyat"
52,52,"الطور","The Mount","Makki",49,76,"At-Tur"
53,53,"النجم","The Star","Makki",62,23,"An-Najm"
54,54,"القمر","The Moon","Makki",55,37,"Al-Qamar"
55,55,"الرحمن","The Beneficent","Madani",78,97,"Ar-Rahmaan"
56,56,"الواقعة","The Inevitable","Makki",96,46,"Al-Waaqia"
57,57,"الحديد","The Iron","Madani",29,94,"Al-Hadid"
58,58,"المجادلة","The Pleading Woman","Madani",22,105,"Al-Mujaadila"
59,59,"الحشر","The Exile","Madani",24,101,"Al-Hashr"
60,60,"الممتحنة","She that is to be examined","Madani",13,91,"Al-Mumtahana"
61,61,"الصف","The Ranks","Madani",14,109,"As-Saff"
62,62,"الجمعة","Friday","Madani",11,110,"Al-Jumu'a"
63,63,"المنافقون","The Hypocrites","Madani",11,104,"Al-Munaafiqoon"
64,64,"التغابن","Mutual Disillusion","Madani",18,108,"At-Taghaabun"
65,65,"الطلاق","Divorce","Madani",12,99,"At-Talaaq"
66,66,"التحريم","The Prohibition","Madani",12,107,"At-Tahrim"
67,67,"الملك","The Sovereignty","Makki",30,77,"Al-Mulk"
68,68,"القلم","The Pen","Makki",52,2,"Al-Qalam"
69,69,"الحاقة","The Reality","Makki",52,78,"Al-Haaqqa"
70,70,"المعارج","The Ascending Stairways","Makki",44,79,"Al-Ma'aarij"
71,71,"نوح","Noah","Makki",28,71,"Nooh"
72,72,"الجن","The Jinn","Makki",28,40,"Al-Jinn"
73,73,"المزمل","The Enshrouded One","Makki",20,3,"Al-Muzzammil"
74,74,"المدثر","The Cloaked One","Makki",56,4,"Al-Muddaththir"
75,75,"القيامة","The Resurrection","Makki",40,31,"Al-Qiyaama"
76,76,"الانسان","Man","Madani",31,98,"Al-Insaan"
77,77,"المرسلات","The Emissaries","Makki",50,33,"Al-Mursalaat"
78,78,"النبإ","The Announcement","Makki",40,80,"An-Naba"
79,79,"النازعات","Those who drag forth","Makki",46,81,"An-Naazi'aat"
80,80,"عبس","He frowned","Makki",42,24,"Abasa"
81,81,"التكوير","The Overthrowing","Makki",29,7,"At-Takwir"
82,82,"الإنفطار","The Cleaving","Makki",19,82,"Al-Infitaar"
83,83,"المطففين","Defrauding","Makki",36,86,"Al-Mutaffifin"
84,84,"الإنشقاق","The Splitting Open","Makki",25,83,"Al-Inshiqaaq"
85,85,"البروج","The Constellations","Makki",22,27,"Al-Burooj"
86,86,"الطارق","The Morning Star","Makki",17,36,"At-Taariq"
87,87,"الأعلى","The Most High","Makki",19,8,"Al-A'laa"
