verse_id,ayah_key,entity_id,mention_text,mention_type,confidence_score
1,1:1,1,الله,direct,1.00
4,1:4,159,مالك,direct,1.00
6,1:6,222,الصراط,direct,1.00
14,2:7,1,الله,direct,1.00
16,2:9,1,الله,direct,1.00
17,2:10,1,الله,direct,1.00
22,2:15,1,الله,direct,1.00
24,2:17,1,الله,direct,1.00
27,2:20,1,الله,direct,1.00
30,2:23,1,الله,direct,1.00
31,2:24,97,النار,direct,1.00
33,2:26,1,الله,direct,1.00
34,2:27,1,الله,direct,1.00
38,2:31,2,آدم,direct,1.00
38,2:31,51,الملائكة,direct,1.00
40,2:33,2,آدم,direct,1.00
41,2:34,52,إبليس,direct,1.00
42,2:35,2,آدم,direct,1.00
43,2:36,53,الشيطان,direct,1.00
44,2:37,2,آدم,direct,1.00
46,2:39,97,النار,direct,1.00
47,2:40,123,إسرائيل,direct,1.00
54,2:47,123,إسرائيل,direct,1.00
56,2:49,31,فرعون,direct,1.00
56,2:49,77,آل فرعون,direct,1.00
57,2:50,31,فرعون,direct,1.00
57,2:50,77,آل فرعون,direct,1.00
57,2:50,163,البحر,direct,1.00
58,2:51,14,موسى,direct,1.00
58,2:51,115,العجل,direct,1.00
60,2:53,14,موسى,direct,1.00
61,2:54,14,موسى,direct,1.00
61,2:54,115,العجل,direct,1.00
62,2:55,1,الله,direct,1.00
62,2:55,14,موسى,direct,1.00
64,2:57,204,المنّ والسلوى,direct,1.00
64,2:57,205,الغمام,direct,1.00
67,2:60,1,الله,direct,1.00
67,2:60,14,موسى,direct,1.00
67,2:60,102,الحجر,direct,1.00
68,2:61,1,الله,direct,1.00
68,2:61,14,موسى,direct,1.00
68,2:61,139,النبيين,direct,1.00
71,2:64,1,الله,direct,1.00
74,2:67,1,الله,direct,1.00
74,2:67,14,موسى,direct,1.00
77,2:70,1,الله,direct,1.00
80,2:73,1,الله,direct,1.00
80,2:73,24,يحيى,direct,1.00
81,2:74,1,الله,direct,1.00
82,2:75,1,الله,direct,1.00
83,2:76,1,الله,direct,1.00
84,2:77,1,الله,direct,1.00
86,2:79,1,الله,direct,1.00
87,2:80,1,الله,direct,1.00
87,2:80,97,النار,direct,1.00
88,2:81,97,النار,direct,1.00
89,2:82,175,أصحاب الجنة,direct,1.00
90,2:83,1,الله,direct,1.00
90,2:83,123,إسرائيل,direct,1.00
92,2:85,1,الله,direct,1.00
94,2:87,14,موسى,direct,1.00
94,2:87,25,عيسى,direct,1.00
94,2:87,27,مريم,direct,1.00
95,2:88,1,الله,direct,1.00
96,2:89,1,الله,direct,1.00
97,2:90,1,الله,direct,1.00
98,2:91,1,الله,direct,1.00
99,2:92,14,موسى,direct,1.00
99,2:92,115,العجل,direct,1.00
100,2:93,115,العجل,direct,1.00
101,2:94,1,الله,direct,1.00
104,2:97,1,الله,direct,1.00
105,2:98,1,الله,direct,1.00
108,2:101,1,الله,direct,1.00
109,2:102,1,الله,direct,1.00
109,2:102,17,سليمان,direct,1.00
109,2:102,49,هاروت,direct,1.00
109,2:102,161,أُحد,direct,1.00
110,2:103,1,الله,direct,1.00
112,2:105,70,أهل الكتاب,direct,1.00
113,2:106,1,الله,direct,1.00
114,2:107,1,الله,direct,1.00
115,2:108,14,موسى,direct,1.00
116,2:109,1,الله,direct,1.00
116,2:109,70,أهل الكتاب,direct,1.00
116,2:109,181,ودّ,direct,1.00
117,2:110,1,الله,direct,1.00
120,2:113,107,يوم القيامة,direct,1.00
120,2:113,207,اليهود,direct,1.00
120,2:113,208,النصارى,direct,1.00
121,2:114,1,الله,direct,1.00
122,2:115,1,الله,direct,1.00
123,2:116,1,الله,direct,1.00
125,2:118,1,الله,direct,1.00
127,2:120,1,الله,direct,1.00
127,2:120,207,اليهود,direct,1.00
127,2:120,208,النصارى,direct,1.00
129,2:122,123,إسرائيل,direct,1.00
131,2:124,7,إبراهيم,direct,1.00
132,2:125,7,إبراهيم,direct,1.00
133,2:126,7,إبراهيم,direct,1.00
133,2:126,97,النار,direct,1.00
134,2:127,7,إبراهيم,direct,1.00
137,2:130,7,إبراهيم,direct,1.00
139,2:132,1,الله,direct,1.00
139,2:132,7,إبراهيم,direct,1.00
140,2:133,7,إبراهيم,direct,1.00
140,2:133,11,يعقوب,direct,1.00
142,2:135,7,إبراهيم,direct,1.00
143,2:136,7,إبراهيم,direct,1.00
143,2:136,14,موسى,direct,1.00
143,2:136,161,أُحد,direct,1.00
144,2:137,1,الله,direct,1.00
145,2:138,1,الله,direct,1.00
146,2:139,1,الله,direct,1.00
147,2:140,1,الله,direct,1.00
147,2:140,7,إبراهيم,direct,1.00
150,2:143,1,الله,direct,1.00
151,2:144,1,الله,direct,1.00
151,2:144,95,المسجد الحرام,direct,1.00
155,2:148,1,الله,direct,1.00
156,2:149,1,الله,direct,1.00
156,2:149,95,المسجد الحرام,direct,1.00
157,2:150,95,المسجد الحرام,direct,1.00
160,2:153,1,الله,direct,1.00
161,2:154,1,الله,direct,1.00
165,2:158,1,الله,direct,1.00
166,2:159,1,الله,direct,1.00
168,2:161,1,الله,direct,1.00
171,2:164,1,الله,direct,1.00
171,2:164,163,البحر,direct,1.00
172,2:165,1,الله,direct,1.00
174,2:167,1,الله,direct,1.00
174,2:167,97,النار,direct,1.00
175,2:168,53,الشيطان,direct,1.00
176,2:169,1,الله,direct,1.00
177,2:170,1,الله,direct,1.00
180,2:173,1,الله,direct,1.00
180,2:173,57,عاد,direct,1.00
181,2:174,1,الله,direct,1.00
181,2:174,97,النار,direct,1.00
181,2:174,107,يوم القيامة,direct,1.00
182,2:175,97,النار,direct,1.00
183,2:176,1,الله,direct,1.00
188,2:181,1,الله,direct,1.00
189,2:182,1,الله,direct,1.00
192,2:185,1,الله,direct,1.00
192,2:185,80,القرآن,direct,1.00
194,2:187,1,الله,direct,1.00
196,2:189,1,الله,direct,1.00
197,2:190,1,الله,direct,1.00
198,2:191,95,المسجد الحرام,direct,1.00
199,2:192,1,الله,direct,1.00
201,2:194,1,الله,direct,1.00
202,2:195,1,الله,direct,1.00
203,2:196,1,الله,direct,1.00
203,2:196,95,المسجد الحرام,direct,1.00
204,2:197,1,الله,direct,1.00
205,2:198,1,الله,direct,1.00
206,2:199,1,الله,direct,1.00
207,2:200,1,الله,direct,1.00
208,2:201,97,النار,direct,1.00
210,2:203,1,الله,direct,1.00
211,2:204,1,الله,direct,1.00
213,2:206,1,الله,direct,1.00
214,2:207,1,الله,direct,1.00
215,2:208,53,الشيطان,direct,1.00
216,2:209,1,الله,direct,1.00
217,2:210,1,الله,direct,1.00
217,2:210,205,الغمام,direct,1.00
218,2:211,1,الله,direct,1.00
218,2:211,123,إسرائيل,direct,1.00
219,2:212,107,يوم القيامة,direct,1.00
220,2:213,1,الله,direct,1.00
220,2:213,139,النبيين,direct,1.00
221,2:214,1,الله,direct,1.00
222,2:215,1,الله,direct,1.00
224,2:217,1,الله,direct,1.00
224,2:217,97,النار,direct,1.00
225,2:218,1,الله,direct,1.00
226,2:219,1,الله,direct,1.00
227,2:220,1,الله,direct,1.00
228,2:221,97,النار,direct,1.00
229,2:222,1,الله,direct,1.00
230,2:223,1,الله,direct,1.00
231,2:224,1,الله,direct,1.00
232,2:225,1,الله,direct,1.00
233,2:226,1,الله,direct,1.00
234,2:227,1,الله,direct,1.00
235,2:228,1,الله,direct,1.00
236,2:229,1,الله,direct,1.00
237,2:230,1,الله,direct,1.00
238,2:231,1,الله,direct,1.00
240,2:233,1,الله,direct,1.00
242,2:235,1,الله,direct,1.00
244,2:237,1,الله,direct,1.00
246,2:239,1,الله,direct,1.00
249,2:242,1,الله,direct,1.00
250,2:243,1,الله,direct,1.00
251,2:244,1,الله,direct,1.00
252,2:245,1,الله,direct,1.00
253,2:246,1,الله,direct,1.00
253,2:246,14,موسى,direct,1.00
253,2:246,123,إسرائيل,direct,1.00
254,2:247,1,الله,direct,1.00
254,2:247,38,طالوت,direct,1.00
255,2:248,14,موسى,direct,1.00
255,2:248,15,هارون,direct,1.00
255,2:248,51,الملائكة,direct,1.00
256,2:249,1,الله,direct,1.00
256,2:249,38,طالوت,direct,1.00
258,2:251,1,الله,direct,1.00
258,2:251,37,جالوت,direct,1.00
259,2:252,1,الله,direct,1.00
260,2:253,1,الله,direct,1.00
260,2:253,25,عيسى,direct,1.00
260,2:253,27,مريم,direct,1.00
262,2:255,1,الله,direct,1.00
264,2:257,1,الله,direct,1.00
264,2:257,97,النار,direct,1.00
265,2:258,1,الله,direct,1.00
265,2:258,7,إبراهيم,direct,1.00
265,2:258,24,يحيى,direct,1.00
266,2:259,1,الله,direct,1.00
266,2:259,24,يحيى,direct,1.00
267,2:260,1,الله,direct,1.00
267,2:260,7,إبراهيم,direct,1.00
267,2:260,146,الطير,direct,1.00
268,2:261,1,الله,direct,1.00
269,2:262,1,الله,direct,1.00
272,2:265,1,الله,direct,1.00
272,2:265,96,جنة,direct,1.00
273,2:266,1,الله,direct,1.00
273,2:266,96,جنة,direct,1.00
274,2:267,1,الله,direct,1.00
275,2:268,53,الشيطان,direct,1.00
277,2:270,1,الله,direct,1.00
279,2:272,1,الله,direct,1.00
280,2:273,1,الله,direct,1.00
282,2:275,1,الله,direct,1.00
282,2:275,53,الشيطان,direct,1.00
282,2:275,57,عاد,direct,1.00
282,2:275,97,النار,direct,1.00
283,2:276,1,الله,direct,1.00
285,2:278,1,الله,direct,1.00
286,2:279,1,الله,direct,1.00
288,2:281,1,الله,direct,1.00
289,2:282,1,الله,direct,1.00
290,2:283,1,الله,direct,1.00
291,2:284,1,الله,direct,1.00
292,2:285,161,أُحد,direct,1.00
293,2:286,1,الله,direct,1.00
295,3:2,1,الله,direct,1.00
296,3:3,81,التوراة,direct,1.00
297,3:4,1,الله,direct,1.00
297,3:4,85,الفرقان,direct,1.00
298,3:5,1,الله,direct,1.00
300,3:7,1,الله,direct,1.00
302,3:9,1,الله,direct,1.00
303,3:10,1,الله,direct,1.00
303,3:10,97,النار,direct,1.00
304,3:11,1,الله,direct,1.00
304,3:11,31,فرعون,direct,1.00
304,3:11,77,آل فرعون,direct,1.00
306,3:13,1,الله,direct,1.00
308,3:15,1,الله,direct,1.00
309,3:16,97,النار,direct,1.00
311,3:18,1,الله,direct,1.00
312,3:19,1,الله,direct,1.00
314,3:21,1,الله,direct,1.00
314,3:21,139,النبيين,direct,1.00
316,3:23,1,الله,direct,1.00
317,3:24,97,النار,direct,1.00
319,3:26,159,مالك,direct,1.00
321,3:28,1,الله,direct,1.00
322,3:29,1,الله,direct,1.00
323,3:30,1,الله,direct,1.00
324,3:31,1,الله,direct,1.00
325,3:32,1,الله,direct,1.00
326,3:33,1,الله,direct,1.00
326,3:33,2,آدم,direct,1.00
326,3:33,7,إبراهيم,direct,1.00
326,3:33,28,عمران,direct,1.00
328,3:35,28,عمران,direct,1.00
329,3:36,27,مريم,direct,1.00
329,3:36,53,الشيطان,direct,1.00
330,3:37,1,الله,direct,1.00
330,3:37,23,زكريا,direct,1.00
330,3:37,27,مريم,direct,1.00
330,3:37,143,المحراب,direct,1.00
331,3:38,23,زكريا,direct,1.00
332,3:39,1,الله,direct,1.00
332,3:39,51,الملائكة,direct,1.00
332,3:39,143,المحراب,direct,1.00
333,3:40,1,الله,direct,1.00
335,3:42,1,الله,direct,1.00
335,3:42,27,مريم,direct,1.00
335,3:42,51,الملائكة,direct,1.00
336,3:43,27,مريم,direct,1.00
337,3:44,27,مريم,direct,1.00
338,3:45,1,الله,direct,1.00
338,3:45,25,عيسى,direct,1.00
338,3:45,27,مريم,direct,1.00
338,3:45,51,الملائكة,direct,1.00
340,3:47,1,الله,direct,1.00
342,3:49,1,الله,direct,1.00
342,3:49,123,إسرائيل,direct,1.00
342,3:49,146,الطير,direct,1.00
343,3:50,1,الله,direct,1.00
343,3:50,81,التوراة,direct,1.00
344,3:51,1,الله,direct,1.00
345,3:52,1,الله,direct,1.00
345,3:52,25,عيسى,direct,1.00
345,3:52,76,الحواريون,direct,1.00
347,3:54,1,الله,direct,1.00
348,3:55,1,الله,direct,1.00
